lecture,contentsid,pages
,C-2022-1_C1,11
,C-2022-1_C2,37
,C-2022-1_C3,47
,C-2022-1_C4,33
,C-2022-1_C5,50
,C-2022-1_C6,5
,C-2022-1_C7,41
,C-2022-1_C8,37
,C-2022-1_C9,31
,C-2022-1_C10,33
,C-2022-1_C11,61
,C-2022-1_C12,2
,C-2022-1_C13,32
,C-2022-1_C14,30
,C-2022-1_C15,35
,C-2022-1_C16,62
,C-2022-1_C17,71
,C-2022-1_C18,58
,C-2022-1_C19,77
,C-2022-1_C20,60
,C-2022-1_C21,55
,C-2022-1_C22,54
,C-2022-1_C23,27
,C-2022-1_C24,2
,C-2022-1_C25,6
,C-2022-1_C26,3
,C-2022-1_C27,6
,C-2022-1_C28,6
,C-2022-1_C29,8
,C-2022-1_C30,4
